정류소명,정류소아이디(ID),승차건수(총합계),하차건수(총합계),승차건수(카드),하차건수(카드),승차건수(현금),일평균 승하차건수
부평시장(한남프라자),40259,16083,10090,15580,10090,503,872
부평시장(한라비발디),40328,6356,2541,6095,2541,261,296
부평시장(한라비발디),40336,10225,17147,10124,17147,101,912
부평시장역,40361,19362,53479,19037,53479,325,2428
부평시장역(부평대로우체국),40368,36633,15547,36216,15547,417,1739
부평시장입구,40288,5216,9408,5125,9408,91,487
부평시장입구(2번출구),40309,9203,10812,9018,10812,185,667
부평아트센터,40078,2362,1462,2326,1462,36,127
부평아트센터,40709,1508,3185,1461,3185,47,156
부평여자고등학교,40365,3733,1445,3647,1445,86,172
부평여자고등학교,40410,7041,7212,6933,7212,108,475
부평여자고등학교,40793,8329,8524,8170,8524,159,561
부평여자중학교,40342,216,471,212,471,4,22
부평여자중학교,40726,295,542,291,542,4,27
부평역,40190,9450,44917,9323,44917,127,1812
부평역,40209,59240,57337,58463,57337,777,3885
부평역,40226,24419,17518,24364,17518,55,1397
부평역,40228,38581,40487,38065,40487,516,2635
부평역,40234,16814,41440,16536,41440,278,1941
부평역,40237,15125,6206,14915,6206,210,711
부평역,40239,9089,9567,8952,9567,137,621
부평역(12번출구),40781,35738,68005,35277,68005,461,3458
부평역(27번출구),40224,37645,7495,37208,7495,437,1504
부평역(CU편의점),40192,37358,3909,36914,3909,444,1375
부평역(대한극장),40196,15382,55312,15294,55312,88,2356
부평역(로터스프라자),40246,19927,27227,19642,27227,285,1571
부평역(북인천우체국),40197,49419,32726,49032,32726,387,2738
부평역사박물관,40597,183,568,177,568,6,25
부평역사박물관,40609,823,222,808,222,15,34
부평역사박물관,40798,452,131,448,131,4,19
부평역화성파크드림아파트,40804,1109,3850,1072,3850,37,165
부평역화성파크드림아파트,40805,4936,1435,4773,1435,163,212
부평우체국,40430,4146,4588,4113,4588,33,291
부평우체국,40432,5367,4483,5292,4483,75,328
부평우체국,40443,342,212,337,212,5,18
부평윤산부인과,40478,518,374,499,374,19,29
부평윤산부인과,40768,543,1856,534,1856,9,79
부평자이,40871,128,988,125,988,3,37
부평정수장,40647,1831,3431,1816,3431,15,175
부평제이타워3차지식산업센터,40644,4251,2927,4239,2927,12,239
부평중앙침례교회,40481,140,1250,133,1250,7,46
부평중학교,40402,3927,4149,3800,4149,127,269
부평중학교,40416,3967,3845,3877,3845,90,260
부평코오롱아파트106동,40404,767,1028,758,1028,9,59
부평코오롱하늘채아파트,40357,609,761,600,761,9,45
부평코오롱하늘채아파트,40360,1301,742,1285,742,16,68
부평테크노타워,40615,2107,1376,2095,1376,12,116
부평테크노타워,40616,2279,3731,2251,3731,28,200
부현동초등학교,41175,11547,4275,11365,4275,182,527
부흥로터리,40412,1803,2229,1778,2229,25,134
부흥오거리(부흥아파트),40392,5648,5617,5541,5617,107,375
부흥오거리(부흥아파트),40394,6943,4140,6895,4140,48,369
부흥오거리(소망병원),40374,5687,9594,5594,9594,93,509
부흥오거리(소망병원),40375,16441,10255,16258,10255,183,889
부흥초교,40302,8132,2379,8051,2379,81,350
부흥초등학교,40299,4515,7702,4463,7702,52,407
부흥초등학교,40304,11146,5854,10998,5854,148,566
부흥초등학교·굿케어요양병원,40878,3825,5671,3770,5671,55,316
북구도서관,40469,3117,2741,3039,2741,78,195
북동삼거리,62001,485,76,479,76,6,18
북동삼거리,62002,88,565,86,565,2,21
북변환승센터.구터미널,80080,637,131,632,131,5,25
북변환승센터.구터미널,80081,1,136,0,136,1,4
북성교회,43744,36,19,31,19,5,1
북성교회,43764,5,6,5,6,0,0
북성마을,43136,179,21,161,21,18,6
북성마을,43528,28,81,27,81,1,3
북인천여자중학교,41007,7799,4951,7691,4951,108,425
북인천여자중학교,41008,5984,6471,5922,6471,62,415
북인천여자중학교,41015,895,14446,883,14446,12,511
북인천여자중학교,41016,8193,363,8061,363,132,285
북항다목적부두,89208,24,1395,19,1395,5,47
북항다목적부두,89209,1184,25,1160,25,24,40
북항배후단지입구,89343,10,618,10,618,0,20
북항배후로입구,89414,3,156,3,156,0,5
북항사업소,89210,16,1125,9,1125,7,38
북항사업소,89211,1202,17,1200,17,2,40
북항입구,89304,250,1250,237,1250,13,50
북항입구,89305,249,152,247,152,2,13
분오리어판장,43406,20,29,19,29,1,1
분오리어판장,43495,1,59,1,59,0,2
분오저수지,43493,1,8,1,8,0,0
분오저수지,43509,47,2,43,2,4,1
불로대곡동행정복지센터,42497,1044,1044,1013,1044,31,69
불로대곡동행정복지센터,42498,1024,2360,1018,2360,6,112
불로중학교,42648,363,1304,355,1304,8,55
불로중학교,42652,481,333,466,333,15,27
불은면주민센터,43035,719,374,678,374,41,36
불은초등학교,43293,105,1,101,1,4,3
불은초등학교,43530,8,31,8,31,0,1
불은파출소,43036,491,656,465,656,26,38
붉은노리삼거리,44112,155,152,146,152,9,10
붉은노리삼거리,44173,10,11,10,11,0,0
뷰티풀파크관리공단,42805,86,8,78,8,8,3
뷰티풀파크관리공단,42806,3,84,1,84,2,2
뷰티풀파크버스공영차고지,42803,49,1402,10,1402,39,48
뷰티풀파크버스공영차고지,42804,2752,31,2632,31,120,92
브라운스톤.엠코타운아파트,40659,11782,15850,11644,15850,138,921
블랙트리캠핑장,44124,22,46,20,46,2,2
블랙트리캠핑장,44174,18,0,18,0,0,0
블루오션골프클럽(앰코코리아),39879,12,576,11,576,1,19
비류마을,38261,1598,1575,1531,1575,67,105
비선삼거리,43114,34,11,29,11,5,1
비선삼거리,43547,554,762,532,762,22,43
비선삼거리,43596,211,88,204,88,7,9
비재고개,35420,187,45,185,45,2,7
비재고개,35421,66,239,66,239,0,10
