정류소명,정류소아이디(ID),승차건수(총합계),하차건수(총합계),승차건수(카드),하차건수(카드),승차건수(현금),일평균 승하차건수
(구)국제여객터미널,35051,99,1671,21,1671,78,59
(구)국제여객터미널,35052,2374,44,2312,44,62,80
(주)경동세라믹스,89146,315,39,312,39,3,11
(주)경인양행앞,42096,973,814,957,814,16,59
(주)경인양행앞,42097,1452,3459,1424,3459,28,163
(주)대한특수금속,39050,1249,75,1246,75,3,44
(주)두남,39135,137,28,136,28,1,5
(주)세모입구(린나이코리아),37585,1382,1613,1382,1613,0,99
(주)세모입구(린나이코리아),40893,240,649,240,649,0,29
(주)스킨이데아,89388,163,138,162,138,1,10
(주)스킨이데아,89389,726,15,686,15,40,24
(주)씨피엔텍,39133,559,3559,558,3559,1,137
(주)씨피엔텍,39134,2358,381,2356,381,2,91
(주)창원,39029,3447,2911,3444,2911,3,211
(주)창원,39030,4114,3224,4114,3224,0,244
(주)하나금속,39124,9,22,9,22,0,1
17사단.다임메가타운,40895,1997,4540,1980,4540,17,217
17사단입구,40832,27,536,17,536,10,18
2001아울렛,40154,3498,5853,3460,5853,38,311
2001아울렛,40159,30061,13803,29691,13803,370,1462
2001아울렛,40162,11275,21322,11099,21322,176,1086
2001아울렛부평점,40158,5076,2654,4894,2654,182,257
2차풍림아이원,42584,45,11032,31,11032,14,369
3단지,40736,409,1758,384,1758,25,72
3단지관리사무소,40107,1998,543,1982,543,16,84
41번구종점,42174,1940,6323,1896,6323,44,275
510번차고지,36145,785,281,785,281,0,35
540번종점,39470,3560,20,3506,20,54,119
6공단사거리,37577,481,2571,476,2571,5,101
6공단입구,37442,624,1107,603,1107,21,57
6공단입구,37443,1275,1594,1231,1594,44,95
8부두,35181,302,2760,263,2760,39,102
8부두,35182,1750,4821,1685,4821,65,219
CJ인천2공장,35591,222,2944,205,2944,17,105
CJ인천2공장,35592,2235,67,2223,67,12,76
E편한세상,42453,3484,2592,3405,2592,79,202
E편한세상,42649,1330,2571,1320,2571,10,130
E편한세상,42726,2867,1402,2834,1402,33,142
GM물류센터,40568,503,1481,490,1481,13,66
GS25편의점,36142,988,2290,933,2290,55,109
GS내리주유소,44147,3,0,3,0,0,0
GS칼텍스,35168,594,59,573,59,21,21
GS칼텍스,35557,8,2406,8,2406,0,80
GS칼텍스,89220,54,121,49,121,5,5
GS칼텍스,89224,54,1710,52,1710,2,58
GS칼텍스주유소,39814,162,15,157,15,5,5
HD현대인프라코어,36081,775,1854,770,1854,5,87
HD현대인프라코어,36083,2555,1227,2518,1227,37,126
HD현대인프라코어후문,36077,45,803,10,803,35,28
HD현대인프라코어후문,36078,4220,845,4211,845,9,168
JC회관,37383,4327,4390,4251,4390,76,290
KCC아파트,42391,1430,1079,1399,1079,31,83
KG스틸,42008,2456,4466,2429,4466,27,230
KTX광명역4번출구,58057,1067,7,1067,7,0,35
KT부평지사,40381,10467,6475,10295,6475,172,564
KT부평지사,40384,6642,13023,6521,13023,121,655
KT서인천지사,42932,1596,2491,1562,2491,34,136
KT서인천지사,42933,1654,1017,1638,1017,16,89
KT송도지점,38568,518,331,501,331,17,28
KT온수분국,43523,655,315,632,315,23,32
KT인천공항지사,35095,350,66,348,66,2,13
KT인천공항지사,35109,7847,3408,7456,3408,391,375
KT인천지사,37415,6355,4656,6240,4656,115,367
KT인천지사,39319,8731,4327,8534,4327,197,435
KT중동지사,55081,844,186,839,186,5,34
KT중동지사,55082,197,1021,194,1021,3,40
LG마그나,89029,6260,1963,6243,1963,17,274
LG마그나,89264,2759,5505,2759,5505,0,275
LG물류센터,39043,316,95,316,95,0,13
LG물류센터,39044,51,435,51,435,0,16
LG아파트후문,42616,356,28,356,28,0,12
LG아파트후문,42617,4,170,4,170,0,5
LG전자(주),42297,4757,3374,4733,3374,24,271
LH1단지,35494,8634,3820,8493,3820,141,415
LH1단지,35495,4065,5764,3929,5764,136,327
LH49단지행복주택아파트,35768,538,805,534,805,4,44
LH49단지행복주택아파트,35769,1592,855,1566,855,26,81
LH7단지,35451,2763,2364,2661,2364,102,170
LH7단지,35452,2716,3107,2653,3107,63,194
LH미추홀3단지,37222,2890,6112,2729,6112,161,300
LH미추홀3단지,37635,6826,3151,6710,3151,116,332
LH웨스턴블루힐정문,89184,993,2505,981,2505,12,116
LH웨스턴블루힐정문,89185,3625,3877,3573,3877,52,250
NKG물류센터,89212,322,61,306,61,16,12
SK.GS주유소,89230,1141,1613,1140,1613,1,91
SK.GS주유소,89231,1435,1503,1431,1503,4,97
SKLPG충전사업소,35636,520,18,480,18,40,17
SKLPG충전사업소,35638,105,486,8,486,97,19
SK뷰아파트,42888,1539,5408,1497,5408,42,231
SK뷰아파트,42889,7120,1344,6831,1344,289,282
SK스카이뷰,37601,453,27515,453,27515,0,932
SK스카이뷰104동,37587,8211,65,8211,65,0,275
SK스카이뷰109동,37607,7396,128,7396,128,0,250
SK인천석유화학,42767,1246,683,1227,683,19,64
SK인천석유화학,42768,280,778,278,778,2,35
SK주유소,42956,401,318,392,318,9,23
SK주유소앞,35287,2077,115,2033,115,44,73
SK주유소앞,35539,107,2722,94,2722,13,94
SK충전소,35085,53,2906,23,2906,30,98
e편한세상 정문,38624,18443,906,18210,906,233,644
e편한세상(109동 앞),32062,780,1174,767,1174,13,65
e편한세상(109동앞),38643,1100,535,1040,535,60,54
e편한세상1차(정문),35662,630,1162,606,1162,24,59
e편한세상1차(정문),35663,1684,456,1675,456,9,71
e편한세상계양,41037,14567,3565,14452,3565,115,604
e편한세상계양,41038,5150,12969,5045,12969,105,603
e편한세상영종센텀베뉴정문,35510,966,3566,943,3566,23,151
e편한세상영종오션하임,35674,1745,735,1722,735,23,82
e편한세상영종오션하임,35761,633,1042,620,1042,13,55
e편한세상영종하늘도시,35646,363,581,362,581,1,31
e편한세상영종하늘도시,35647,195,311,192,311,3,16
gym80fitness,37081,2490,893,2429,893,61,112
가경공원,89365,873,773,859,773,14,54
가구단지사거리,37455,3418,5113,3353,5113,65,284
가구단지사거리,37456,3204,2254,3173,2254,31,181
가구전시장,42072,509,580,488,580,21,36
가구전시장,42074,662,556,656,556,6,40
가나안마을앞,43904,3,22,3,22,0,0
가나안마을앞,43905,47,2,47,2,0,1
가능포,43969,1,2,1,2,0,0
가능포,43970,2,18,2,18,0,0
가림고등학교,42078,13226,13117,12966,13117,260,878
가야,42807,511,1,498,1,13,17
가야,42808,23,1123,22,1123,1,38
가양역.우성아파트,25107,9821,7680,9790,7680,31,583
가오대입구,80033,168,355,152,355,16,17
가오대입구,80034,129,641,94,641,35,25
가원초등학교,42952,6286,4341,6213,4341,73,354
가원초등학교,89118,2578,5463,2505,5463,73,268
가재우물터,35678,6,2,6,2,0,0
가재우물터,35700,2,10,2,10,0,0
가재울사거리,42039,2262,5527,2243,5527,19,259
가재울사거리,42042,8187,4873,8112,4873,75,435
가재울역,42034,2276,2826,2270,2826,6,170
가재울역,42035,3589,2260,3530,2260,59,194
가정(루원시티)역,89050,9258,46111,9218,46111,40,1845
가정(루원시티)역,89051,56364,6578,56197,6578,167,2098
가정(루원시티)역,89075,73177,74348,72780,74348,397,4917
가정(루원시티)역,89078,83677,72034,83211,72034,466,5190
가정3동성당,42226,480,3272,473,3272,7,125
가정LH3단지정문앞,89041,18319,3722,18145,3722,174,734
가정고등학교,42200,11453,4384,11245,4384,208,527
가정고등학교,42203,3359,7615,3273,7615,86,365
가정교차로,89390,246,729,242,729,4,32
가정교차로,89391,681,3211,681,3211,0,129
가정동성당,89102,3562,3584,3450,3584,112,238
가정동성당,89105,2705,1836,2671,1836,34,151
가정보금자리,89119,1317,429,1313,429,4,58
가정보금자리,89120,41,1300,41,1300,0,44
가정여자중학교,42041,237,7364,233,7364,4,253
가정여중입구,89303,858,927,836,927,22,59
가정중앙시장역,42215,1459,1219,1424,1219,35,89
가정중앙시장역,42219,1179,2175,1155,2175,24,111
가정택지삼거리,89385,299,219,299,219,0,17
가정택지삼거리,89386,267,485,265,485,2,25
가정휴먼시아3단지,89186,1272,1567,1261,1567,11,94
가정휴먼시아3단지,89187,1968,1861,1891,1861,77,127
가좌2동행정복지센터,42073,5841,241,5808,241,33,202
가좌2동행정복지센터,42076,160,5179,144,5179,16,177
가좌3동행정복지센터,42075,12900,13927,12779,13927,121,894
가좌4동행정복지센터,42062,4843,6995,4767,6995,76,394
가좌고등학교,42060,15566,12318,15288,12318,278,929
가좌고등학교,42061,5508,8786,5408,8786,100,476
가좌공단,42526,87,10200,41,10200,46,342
가좌공단,42945,7684,25,7610,25,74,256
가좌교회,42055,3903,8383,3845,8383,58,409
가좌교회,42057,4268,4185,4185,4185,83,281
가좌녹지공원,42029,1286,3558,1271,3558,15,161
가좌녹지공원,42030,1695,1090,1684,1090,11,92
가좌농협,42066,8322,7163,8126,7163,196,516
가좌농협,42067,5979,5880,5833,5880,146,395
가좌동차고,42939,2879,516,2301,516,578,113
가좌동차고지,42522,520,1021,60,1021,460,51
가좌두산위브104동앞,42090,5316,3532,5235,3532,81,294
가좌사거리,42043,31,285,25,285,6,10
가좌사거리,42044,456,4310,434,4310,22,158
가좌진주아파트,42100,13637,27587,13405,27587,232,1374
가좌체육공원,42058,7468,1301,7416,1301,52,292
가좌초등학교,42069,4087,4701,4002,4701,85,292
가좌초등학교,42070,4777,2547,4727,2547,50,244
가좌테니스장,37454,2406,1103,2387,1103,19,116
가좌테니스장,37457,822,1448,814,1448,8,75
가좌현대아파트,42130,8269,2537,8129,2537,140,360
가좌현대아파트,42133,907,8471,898,8471,9,312
가좌홈플러스(쌍마아파트),42101,10172,7661,9871,7661,301,594
가좌홈플러스(쌍마아파트),42103,7399,11401,7104,11401,295,626
가좌환경사업소,42631,7109,3899,7025,3899,84,366
가좌환경사업소 북측,89341,173,303,173,303,0,15
가좌환경사업소북측,89342,15,271,15,271,0,9
가천대학교,38270,1119,941,1056,941,63,68
가천대학교,38284,8654,3062,8542,3062,112,390
가천대학교(노인복지회관),38269,858,988,846,988,12,61
가천의대,43237,6,48,6,48,0,1
가천의대,43897,31,5,31,5,0,1
가톨릭대,43325,3,49,3,49,0,1
가현오일뱅크,42734,49,23,46,23,3,2
가현중학교,42722,3146,2946,3076,2946,70,203
가현초교앞(루에블리아파트),89242,3369,4565,3180,4565,189,264
가현초교앞(센트럴타운아파트),89243,5316,1655,5249,1655,67,232
각곡,43602,6,105,4,105,2,3
각곡,43772,225,12,207,12,18,7
간석4거리,39538,336,394,325,394,11,24
간석4동새마을금고,39343,3380,6144,3265,6144,115,317
간석4동새마을금고,39346,3414,2460,3336,2460,78,195
간석4동행정복지센터,39403,4255,8111,4238,8111,17,412
간석4동행정복지센터,39412,5449,3071,5402,3071,47,284
간석금호어울림아파트,39334,25922,12901,25411,12901,511,1294
간석남부역,37429,3523,870,3479,870,44,146
간석남부역,37435,7256,2403,7106,2403,150,321
간석남부역,37529,1217,3009,1204,3009,13,140
간석동용광경로당,39394,1035,532,1007,532,28,52
간석래미안.자이,39333,16923,18239,16718,18239,205,1172
간석북부역,39806,3903,79,3791,79,112,132
간석북부역,39807,87,2533,61,2533,26,87
간석북부역·우성1차,39368,12399,4420,12383,4420,16,560
간석북부역·우성1차,39370,5288,10014,5260,10014,28,510
간석사거리,39413,13463,9358,13318,9358,145,760
간석사거리,39414,5098,10643,5051,10643,47,524
간석사거리,39430,2124,2605,2104,2605,20,157
간석사거리(상인천중학교),39422,12955,28987,12789,28987,166,1398
간석사거리(상인천중학교),39426,32245,19009,31984,19009,261,1708
간석시장,39434,13001,31305,12764,31305,237,1476
간석시장,39436,57334,32679,56848,32679,486,3000
간석시장,39437,15779,21525,15677,21525,102,1243
간석오거리,39460,17759,14347,17582,14347,177,1070
간석오거리,39597,4631,3509,4610,3509,21,271
간석오거리(교원공제조합),39444,36271,29432,36096,29432,175,2190
간석오거리(인천웨딩홀),39406,9104,12101,8758,12101,346,706
간석오거리(인천웨딩홀),39423,34159,20979,33750,20979,409,1837
간석오거리역(7번출구),39447,17924,33476,17786,33476,138,1713
간석오거리역(8번출구),39449,63179,74047,62954,74047,225,4574
간석지구대,39535,509,608,499,608,10,37
간석지구대,39536,518,748,512,748,6,42
간석풍림아파트,92053,548,606,538,606,10,38
간석한신더휴아파트맞은편,37447,2327,493,2327,493,0,94
간재울초등학교,42347,6175,3930,5922,3930,253,336
간촌,43504,37,40,34,40,3,2
간촌,43518,49,29,43,29,6,2
갈산대동아파트,40550,260,806,260,806,0,35
갈산동아아파트,40567,1617,1771,1605,1771,12,112
갈산동입구,40622,24,4276,24,4276,0,143
갈산동천주교회,40652,856,4686,822,4686,34,184
갈산동천주교회맞은편,40650,5197,4588,5130,4588,67,326
갈산두산아파트,40544,4082,5881,4021,5881,61,332
갈산사거리,40631,2928,4257,2848,4257,80,239
갈산사거리,40634,3358,5114,3296,5114,62,282
갈산새마을금고,40635,8564,2000,8495,2000,69,352
갈산시장,40628,6667,5803,6619,5803,48,415
갈산시장.갈산도서관,40629,2248,7114,2221,7114,27,312
갈산역,40601,35751,12544,35577,12544,174,1609
갈산역,40602,10551,43602,10467,43602,84,1805
갈산역(1번출구),40604,24164,7182,23983,7182,181,1044
갈산역(부평4공단)4번출구,40606,6661,18397,6603,18397,58,835
갈산주공1단지,40578,3182,2136,3133,2136,49,177
갈산주공1단지105동,40813,7710,2883,7647,2883,63,353
갈산주공2단지,40562,401,1106,401,1106,0,50
갈산주공2단지,40577,4132,7396,4028,7396,104,384
갈산태화아파트,40542,529,1263,518,1263,11,59
갈산태화아파트,40664,4905,858,4808,858,97,192
갈산태화아파트,40666,279,1603,263,1603,16,62
갈산태화아파트,40667,676,2589,671,2589,5,108
갈월초등학교,40531,111,1121,111,1121,0,41
갈현경로당,41491,40,333,40,333,0,12
갈현경로당앞,41607,276,48,271,48,5,10
갈현교,41608,142,35,135,35,7,5
갈현교,41609,142,122,2,122,140,8
갈현교입구,41492,438,35,431,35,7,15
갈현교입구,41617,1,150,1,150,0,5
갈현동마을,41351,1056,727,1039,727,17,59
갈현동마을,41352,300,1509,297,1509,3,60
갑곶돈대.강화전쟁박물관,43365,14,11,14,11,0,0
갑곶돈대.강화전쟁박물관,43728,5,23,5,23,0,0
갑곶돈대입구,43367,6,7,5,7,1,0
갑곶돈대입구,43726,12,7,12,7,0,0
갑륭초교,43374,0,4,0,4,0,0
갑륭초교,43724,8,185,8,185,0,6
갑문,35125,22,483,18,483,4,16
갑문,35504,185,18,182,18,3,6
강남시장,42172,20961,13994,20416,13994,545,1165
강남시장,42173,12375,11244,12122,11244,253,787
강남역.역삼세무서,23287,1033,1143,1033,1143,0,72
강남역도시에빛,31076,2566,6643,2566,6643,0,306
강남역서초현대타워앞,31016,49097,32305,49024,32305,73,2713
강남중교,43213,146,20,142,20,4,5
강남중교,43278,18,161,18,161,0,5
강서중학교,43660,2,82,0,82,2,2
강서중학교,43898,154,10,142,10,12,5
강인여객,40020,1117,1612,1070,1612,47,90
강인여객,40022,1259,894,1248,894,11,71
강화갯벌장어,43633,4,3,4,3,0,0
강화갯벌장어,43671,0,3,0,3,0,0
강화경찰서,43209,239,21,219,21,20,8
강화경찰서,43624,8,220,4,220,4,7
강화고등학교,43564,6,16,6,16,0,0
강화고등학교,43761,164,153,164,153,0,10
강화군 행복센터,43055,126,1569,121,1569,5,56
강화군 행복센터,43056,1,238,1,238,0,7
강화군노인문화센터,90373,0,18,0,18,0,0
강화군노인문화센터,90374,1,0,1,0,0,0
강화군청,43065,3494,736,3267,736,227,141
강화군청,43108,718,2572,694,2572,24,109
강화루지.강남상회,43150,203,84,195,84,8,9
강화루지.강남상회,43250,94,227,93,227,1,10
강화마니산,43001,36,40,35,40,1,2
강화마니산,43002,474,134,453,134,21,20
강화문화원.종합전시관,43097,2,51,2,51,0,1
강화문화원.종합전시관,43098,30,522,29,522,1,18
강화병원,43088,25,1242,20,1242,5,42
강화병원,43089,987,71,976,71,11,35
강화산단,90123,0,13,0,13,0,0
강화산단입구,90096,0,16,0,16,0,0
강화산단입구,90097,17,0,17,0,0,0
강화산성서문,43080,3,14,3,14,0,0
강화산성서문,43081,59,77,59,77,0,4
강화서문,43063,535,447,516,447,19,32
강화서문,43064,447,432,410,432,37,29
강화수양관앞,43467,73,27,73,27,0,3
강화수양관앞,43732,3,29,2,29,1,1
강화슈퍼,43066,554,1057,546,1057,8,53
강화슈퍼,43068,1535,272,1399,272,136,60
강화실버케어스앞,43975,35,181,35,181,0,7
강화실버케어스앞,43976,75,72,75,72,0,4
강화아시아드BMX경기장,43799,1,65,0,65,1,2
강화여자중학교,90334,0,50,0,50,0,1
강화역사박물관(고인돌),43601,275,24,261,24,14,9
강화역사박물관(고인돌),43670,19,352,19,352,0,12
강화장례식장,43918,1446,84,1362,84,84,51
강화장례식장,43946,33,1822,27,1822,6,61
강화중학교,43207,26,24,25,24,1,1
강화중학교,43623,11,21,10,21,1,1
강화터미널,43096,49095,986,46236,986,2859,1669
개항동 어울터,35197,9808,2069,9505,2069,303,395
개항동 어울터,35198,2439,9031,2377,9031,62,382
개화2치안센터,25023,42,1827,38,1827,4,62
개화2치안센터,25024,2508,40,2498,40,10,84
개화역1번출구.개화검문소,25030,161,7265,159,7265,2,247
개화역1번출구.개화검문소,25031,2737,254,2696,254,41,99
개화역광역환승센터,25182,1421,2109,1418,2109,3,117
갤러리84입구,35666,49,8,45,8,4,1
갤러리84입구,35667,10,52,9,52,1,2
갯벌슈퍼,43410,2,11,2,11,0,0
갯벌슈퍼,43513,10,9,10,9,0,0
거북시장,42132,14281,12160,13835,12160,446,881
거북시장,42136,13210,11609,12873,11609,337,827
거산정공.(주)록키,39137,1324,1691,1324,1691,0,100
거잠포선착장,35302,114,379,114,379,0,16
거잠포선착장,35303,381,127,380,127,1,16
거잠포회센터,35588,112,46,95,46,17,5
건설기술교육원,39353,6656,11149,6631,11149,25,593
건설기술교육원,39354,4953,3822,4934,3822,19,292
건영아파트,38069,16179,39808,16034,39808,145,1866
건일아파트,43015,381,179,363,179,18,18
건일아파트,43094,163,264,150,264,13,14
건지사거리,42882,76,0,74,0,2,2
건지사거리,42883,4,242,4,242,0,8
건평,43168,54,64,50,64,4,3
건평,43186,18,55,17,55,1,2
건평리,43187,65,5,64,5,1,2
건평리,43651,13,62,12,62,1,2
건평마을회관,43594,1,44,1,44,0,1
건평입구,43170,3,12,3,12,0,0
건평입구,43331,9,3,9,3,0,0
걸포북변역,35560,51,2900,51,2900,0,98
걸포북변역,35610,2398,139,2372,139,26,84
걸포사거리.우리병원,35561,221,331,220,331,1,18
검단1차피오레·금호어울림아파트,89457,194,187,188,187,6,12
검단1차피오레·금호어울림아파트,89458,19,387,19,387,0,13
검단LH행복주택,89408,8490,2621,8418,2621,72,370
검단공구상가,89053,58,697,35,697,23,25
검단공구상가,89065,346,161,342,161,4,16
검단노인복지관,42695,205,432,181,432,24,21
검단농기구센터,89316,87,7,85,7,2,3
검단농기구센터,89324,2,140,2,140,0,4
검단농협,42432,25960,8807,25366,8807,594,1158
검단농협,42434,5201,14334,5025,14334,176,651
검단대성베르힐,89467,0,40,0,40,0,1
검단동행정복지센터(검단고교),42441,3696,7709,3531,7709,165,380
검단동행정복지센터(검단고교),42445,3591,4385,3493,4385,98,265
검단로지스틱스파크,41339,326,121,323,121,3,14
검단로지스틱스파크,42395,164,1257,164,1257,0,47
검단메가박스,42383,1833,1711,1803,1711,30,118
검단메가박스,42384,374,759,372,759,2,37
검단모아미래도엘리트,89466,16,3,16,3,0,0
검단모아엘가그랑데아파트,42483,39,350,39,350,0,12
검단사거리역,42419,14478,14680,14155,14680,323,971
검단사거리역,42426,2092,9162,2068,9162,24,375
검단사거리역,42427,8271,3192,8201,3192,70,382
검단사거리역,42537,10225,12442,10049,12442,176,755
검단신도시예미지더시그너스,89415,285,234,283,234,2,17
검단신도시예미지더시그너스,89416,8,258,8,258,0,8
검단신도시우미린리버포레,89409,3932,8284,3882,8284,50,407
검단오류공단,42702,7,549,7,549,0,18
검단오류공단,42703,503,8,482,8,21,17
검단오류역,89057,6387,752,6346,752,41,237
검단오류역,89060,469,5427,463,5427,6,196
검단오류역우방아이유쉘,89067,456,751,456,751,0,40
검단오류역우방아이유쉘,89068,997,181,972,181,25,39
검단오류풍림아이원,89251,120,351,112,351,8,15
검단오류풍림아이원,89252,445,129,437,129,8,19
검단우미린파크뷰2단지,89469,0,5,0,5,0,0
검단우방아이유쉘아파트,42688,393,498,369,498,24,29
검단원흥아파트,42400,1674,975,1599,975,75,88
검단원흥아파트,42401,1351,2659,1307,2659,44,133
검단지식산업센타,89054,8038,130,7809,130,229,272
검단지식산업센타,89063,171,5851,161,5851,10,200
검단초등학교,42475,8342,3830,8144,3830,198,405
검단초등학교,42482,3340,5518,3313,5518,27,295
검단초등학교,89332,66,145,64,145,2,7
검단초등학교,89333,148,125,139,125,9,9
검단출장소,42423,14952,10762,14669,10762,283,857
검단출장소,42424,4064,9965,3957,9965,107,467
검단탑종합병원,42877,418,626,384,626,34,34
검단하나아파트,42421,2282,556,2251,556,31,94
검단하나아파트,42422,422,436,410,436,12,28
검단힐스테이트5차아파트,42557,11,101,2,101,9,3
검단힐스테이트5차아파트,42558,239,477,226,477,13,23
검문소,43662,4,3,4,3,0,0
검문소,43812,70,110,63,110,7,6
검문소,90042,0,1,0,1,0,0
검문소,90043,8,111,8,111,0,3
검바위역,42348,4071,934,3999,934,72,166
검바위역,42349,1465,3363,1442,3363,23,160
검암경서동행정복지센터,42352,1936,5934,1892,5934,44,262
검암경서동행정복지센터,42353,5943,1763,5742,1763,201,256
검암사거리,42356,2418,3158,2360,3158,58,185
검암사거리,42357,4533,1757,4451,1757,82,209
검암사거리,42358,4339,1537,4278,1537,61,195
검암역(시내방면),42364,19538,2427,19354,2427,184,732
검암역(원당방면),42363,2182,26413,2073,26413,109,953
검암역.서해그랑블아파트,42360,5592,4590,5535,4590,57,339
검암역로열파크씨티푸르지오1단지,89167,1149,7,1048,7,101,38
검암역로열파크씨티푸르지오1단지,89168,83,822,2,822,81,30
검암역로열파크씨티푸르지오2단지,89169,520,15,512,15,8,17
검암역로열파크씨티푸르지오2단지,89170,134,735,23,735,111,28
검암역입구,42851,10330,6146,10241,6146,89,549
검암역입구,42852,5968,5979,5962,5979,6,398
검암역입구(시천교밑),89250,10711,2811,10685,2811,26,450
검암중학교,42359,3492,1557,3372,1557,120,168
검암중학교,42362,2581,2906,2562,2906,19,182
검암초등학교,42361,525,5944,512,5944,13,215
경기국제통상고.포도마을뉴서울.중앙공원,55042,610,1926,574,1926,36,84
경기국제통상고.포도마을뉴서울.중앙공원,55043,1573,1014,1518,1014,55,86
경기도교육청학생교육원,43162,0,101,0,101,0,3
경기도교육청학생교육원,43222,177,19,176,19,1,6
경기주유소,43051,77,345,75,345,2,14
경남1차,40343,9080,322,8880,322,200,313
경남1차아파트,40376,14590,6959,14445,6959,145,718
경남2차,40305,8649,71,8560,71,89,290
경남아너스빌,42099,3401,1698,3323,1698,78,169
경남아너스빌,42102,1323,3114,1270,3114,53,147
경남아너스빌아파트,42110,4705,2897,4618,2897,87,253
경남아너스빌아파트,42111,1712,2624,1683,2624,29,144
경남아파트,35143,8555,3132,8413,3132,142,389
경남아파트,35147,674,2134,637,2134,37,93
경남아파트,38281,8316,6863,8168,6863,148,505
경남아파트,41011,15077,4073,14849,4073,228,638
경남아파트,41014,3833,8068,3795,8068,38,396
경남아파트,42332,6844,3048,6775,3048,69,329
경남아파트,42334,3100,7296,3076,7296,24,346
경남아파트308동앞,40334,42,6928,40,6928,2,232
경남아파트311동앞,40300,14,5716,14,5716,0,191
경남아파트313동앞,40287,16,6199,13,6199,3,207
경동택배,89315,79,5,77,5,2,2
경동택배,89325,1,26,1,26,0,0
경명초등학교,89216,1461,484,1461,484,0,64
경명초등학교,89277,4527,7043,4504,7043,23,385
경명초등학교,89278,3985,5294,3967,5294,18,309
경방신약,39136,5117,1203,5111,1203,6,210
경방신약,39138,2346,8558,2344,8558,2,363
경복예식장,39399,9362,4597,9103,4597,259,465
경서농원,42333,196,509,189,509,7,23
경서농원,42335,57,1142,52,1142,5,39
경서지구입구,42303,881,4951,878,4951,3,194
경서지구입구,42671,2322,2452,2306,2452,16,159
경서지구입구,42672,3957,2638,3851,2638,106,219
경서초등학교,42569,4133,2231,4060,2231,73,212
경서초등학교,42570,2634,2397,2608,2397,26,167
경신마을,39646,181,125,179,125,2,10
경신마을,39982,159,1072,150,1072,9,41
경신아파트,41216,1901,1201,1872,1201,29,103
경신아파트,41223,1966,3542,1909,3542,57,183
경연초중학교,89271,5948,4065,5823,4065,125,333
경연초중학교,89272,3399,5033,3384,5033,15,281
경연초중학교·청라센텀로제비앙,89286,2054,991,2014,991,40,101
경연초중학교·호반베르디움6차,89285,1737,1735,1700,1735,37,115
경인계량소,42549,1095,7,1074,7,21,36
경인계량소,42550,5,765,4,765,1,25
경인교대.부평향교,41138,1009,1196,994,1196,15,73
경인교대.부평향교,41139,876,1038,868,1038,8,63
경인교대역입구,41428,9494,7449,9306,7449,188,564
경인교대역입구,41429,8334,9138,8246,9138,88,582
경인교회앞,40077,995,4144,973,4144,22,171
경인방송,37003,137,132,137,132,0,8
경인방송,37004,80,219,76,219,4,9
경인산업,39688,804,1474,802,1474,2,75
경인아라뱃길여객터미널,42869,417,13,414,13,3,14
경인여대,41277,10571,15799,10554,15799,17,879
경인여대,41278,5960,7126,5952,7126,8,436
경인특장,42547,278,7,267,7,11,9
경인항다목적부두,89151,114,1,114,1,0,3
경인항다목적부두,89152,0,78,0,78,0,2
경전말,43934,32,1,27,1,5,1
경제자유구역청,38514,2173,2171,2153,2171,20,144
경제자유구역청,38515,3165,3630,3134,3630,31,226
경진브로아,39042,974,1162,963,1162,11,71
경흥빌라,43372,439,7,405,7,34,14
경흥빌라,43616,1,211,1,211,0,7
경희유치원앞,39991,123,539,122,539,1,22
경희유치원앞,39992,155,240,147,240,8,13
계량소,40195,2380,315,2343,315,37,89
계룡리슈빌,55225,6189,1721,6186,1721,3,263
계산3동행정복지센터,41649,10,3,9,3,1,0
계산3동행정복지센터,41656,22,10,22,10,0,1
계산공고,41167,3133,3312,3032,3312,101,214
계산공고,41170,4979,8191,4906,8191,73,439
계산공고앞,41169,2818,1951,2738,1951,80,158
계산국민체육센터,41276,2083,3466,2053,3466,30,184
계산국민체육센터,41613,2403,2361,2352,2361,51,158
계산동수협,41533,4014,4758,3927,4758,87,292
계산동아아파트,41231,213,16,209,16,4,7
계산동우체국,41427,6894,4089,6849,4089,45,366
계산삼거리,41196,334,326,329,326,5,22
계산삼거리(신도브래뉴),41199,10404,10466,10294,10466,110,695
계산삼거리(신도브래뉴),41201,4479,8232,4403,8232,76,423
계산시장,41176,4240,4959,4190,4959,50,306
계산여고,41576,758,860,756,860,2,53
계산여자고등학교,41221,23,202,23,202,0,7
계산여자고등학교,41224,1169,1040,1143,1040,26,73
계산역,41247,6532,5516,6500,5516,32,401
계산역,41371,14114,1890,14059,1890,55,533
계산역,41426,28730,22379,28604,22379,126,1703
계산역,41431,24817,31147,24592,31147,225,1865
계산우체국,41430,10872,11853,10787,11853,85,757
계산전통시장,41648,7,3,5,3,2,0
계산전통시장,41657,1,24,1,24,0,0
계산주공아파트,41423,12502,13886,12299,13886,203,879
계산중학교,41577,303,51,303,51,0,11
계산현대아파트,41650,0,3,0,3,0,0
계양1동주민자치센터,41476,8152,1496,8045,1496,107,321
계양1동주민자치센터,41520,635,8168,595,8168,40,293
계양3동행정복지센터,41525,970,1482,970,1482,0,81
계양3동행정복지센터,41526,1203,880,1196,880,7,69
계양CGV,41140,3495,3713,3463,3713,32,240
계양경찰서,41184,9912,8364,9848,8364,64,609
계양경찰서,41185,6010,9093,5969,9093,41,503
